ID;TICKER;NAME;DESCRIPTION;COUNTRY
1;GAZP;Газпром;"ПАО ""Газпром"" - глобальная энергетическая компания. Основные направления деятельности - геологоразведка, добыча, транспортировка, хранение, переработка и реализация газа, газового конденсата и нефти, реализации газа в качестве моторного топлива, а также производство и сбыт тепло- и элетроэнергии";RU
2;NFLX;Netflix;Netflix, Inc. - эро американская стриминговая платформа, которая предлагает широкий выбор сериалов и фильмов через подключенные к интернету устройства;US
3;ALRS;АЛРОСА;АЛРОСА -российская алмазодобывающая компания. Она занимает лидирующую позицию в миру по объёму добычи алмазов. Корпорация занимается разведкой месторождений, добычей, обработкой и продажей алмазного сырья. Основная деятельность сосредоточена в Якутии, Северо-Западных регионах России и странах Африки.;RU
4;AFLT;Аэрофлот;Аэрофлот - Российские авиалинии - российская государственно-частная авиакомпания, образованная из одного из государственных социалистических предприятий советского Аэрофлота, осуществляющего полёты и коммерческую деятельность на международных воздушных линиях, и которая в последствии стала владеть правами на одноимённую торговую марку. Является национальным авиаперевозчиком в России.;RU
5;TSLA;Tesla Motors;Tesla Inc. Проектирует, производит и продает электромобили и компоненты силовых агрегатов электромобилей. Компания владеет сбытовой и сервисной сетью и продает компоненты для электрических силовых агрегатов другим производителям автомобилей. Tesla обслуживает клиентов по всему миру. ;US
6;NVDA;NVIDIA;NVIDIA проектирует, разрабатывает и продает процессоры трехмерной (3D) графики и соответствующее программное обеспечение. Компания предлагает продукты, обеспечивающие интерактивную трехмерную графику на массовом рынке персональных компьютеров. ;US
7;T;AT&T;AT&T Inc. - это телекоммуникационный холдинг, предоставляющий такие услуги как, местная и междугородная телефонная связь, беспроводная связь и передача данных, доступ в Интернет и обмен сообщениями, IP- и спутниковое телевидение, системы обеспечения безопасности, телекоммуникационное оборудование, реклама в справочных изданиях и издательские услуги. ;US
8;SBER;Сбер Банк;Сбербанк - крупнейший банк в России и СНГ с самой широкой сетью подразделений, предлагающий весь спектр инвестиционно-банковских услуг. ;RU
9;POLY;Polymetal;Компания Polymetal занимается добычей драгоценных металлов в России и Казахстане.;RU
